date,open,high,low,close,volume
2025-12-29,42.97999954223633,44.33000183105469,42.349998474121094,43.81999969482422,54612100
2025-12-30,44.150001525878906,44.75,43.56999969482422,43.66999816894531,40697400
2025-12-31,43.88999938964844,44.150001525878906,42.0099983215332,42.029998779296875,44754800
2026-01-02,45.130001068115234,48.09000015258789,45.08000183105469,47.2400016784668,132719700
2026-01-05,50.349998474121094,51.220001220703125,48.630001068115234,49.220001220703125,94987500
2026-01-06,51.11000061035156,54.29999923706055,51.06999969482422,54.0099983215332,92678600
2026-01-07,52.20000076293945,52.7400016784668,50.84000015258789,52.290000915527344,65698500
2026-01-08,51.79999923706055,51.810001373291016,48.130001068115234,49.650001525878906,79844800
2026-01-09,51.09000015258789,54.7599983215332,50.310001373291016,53.95000076293945,87214400
2026-01-12,52.38999938964844,55.150001525878906,52.349998474121094,54.650001525878906,53193700
2026-01-13,55.689998626708984,57.630001068115234,55.43000030517578,56.06999969482422,61895400
2026-01-14,54.88999938964844,55.439998626708984,53.0,55.380001068115234,70434900
2026-01-15,60.959999084472656,61.66999816894531,58.0099983215332,58.08000183105469,89664300
2026-01-16,61.189998626708984,62.189998626708984,59.5,60.75,58559500
2026-01-20,57.34000015258789,61.04999923706055,57.220001220703125,57.939998626708984,71408300
2026-01-21,60.2400016784668,65.11000061035156,59.459999084472656,63.47999954223633,103027300
2026-01-22,66.9000015258789,66.95999908447266,63.040000915527344,63.720001220703125,62594200
2026-01-23,62.47999954223633,63.36000061035156,60.150001525878906,61.599998474121094,58613600
2026-01-26,60.75,61.959999084472656,59.599998474121094,60.70000076293945,42592400
2026-01-27,63.310001373291016,65.98999786376953,62.540000915527344,64.95999908447266,61155400
2026-01-28,69.0,70.93000030517578,67.9800033569336,70.08999633789062,74205500
2026-01-29,70.4000015258789,71.9800033569336,62.650001525878906,70.47000122070312,78058200
2026-01-30,67.12000274658203,69.86000061035156,60.290000915527344,61.790000915527344,83504200
2026-02-02,59.459999084472656,66.94000244140625,59.099998474121094,65.19999694824219,66961000
2026-02-03,66.80999755859375,67.62000274658203,57.02000045776367,61.20000076293945,101338500
2026-02-04,59.439998626708984,61.029998779296875,49.33000183105469,53.189998626708984,139149400
2026-02-05,51.310001373291016,55.4900016784668,50.0099983215332,53.25,109350300
2026-02-06,56.400001525878906,62.25,55.66999816894531,61.75,108594200
2026-02-09,59.9900016784668,65.05000305175781,59.290000915527344,64.02999877929688,66670500
2026-02-10,64.66999816894531,65.20999908447266,61.41999816894531,63.34000015258789,58273900
2026-02-11,67.20999908447266,69.0999984741211,63.22999954223633,68.05000305175781,89724200
2026-02-12,69.66999816894531,70.86000061035156,62.77000045776367,63.099998474121094,90896100
2026-02-13,63.93000030517578,66.25,61.43000030517578,64.58999633789062,79931300
2026-02-17,62.02000045776367,65.95999908447266,59.560001373291016,64.3499984741211,79420400
2026-02-18,65.26000213623047,68.44999694824219,64.06999969482422,66.29000091552734,69349000
2026-02-19,64.33000183105469,65.51000213623047,62.959999084472656,65.2300033569336,68827500
2026-02-20,63.7599983215332,68.22000122070312,63.58000183105469,67.11000061035156,81017900
2026-02-23,65.8499984741211,67.6500015258789,63.470001220703125,65.86000061035156,66926300
2026-02-24,68.11000061035156,70.0,66.3499984741211,68.52999877929688,66892100
2026-02-25,70.88999938964844,72.36000061035156,70.4800033569336,71.86000061035156,52929300
2026-02-26,71.02999877929688,71.11000061035156,61.630001068115234,65.33999633789062,97787900
2026-02-27,61.5099983215332,63.7599983215332,60.65999984741211,62.77000045776367,70112700
2026-03-02,58.11000061035156,62.81999969482422,58.04999923706055,62.7599983215332,81699800
2026-03-03,55.119998931884766,55.86000061035156,51.36000061035156,53.41999816894531,131198300
2026-03-04,55.959999084472656,57.720001220703125,54.380001068115234,56.619998931884766,78143300
2026-03-05,55.31999969482422,57.689998626708984,51.130001068115234,54.79999923706055,110055800
2026-03-06,50.09000015258789,53.36000061035156,46.79999923706055,47.88999938964844,125241500
2026-03-09,45.5099983215332,53.779998779296875,44.529998779296875,53.31999969482422,114897700
2026-03-10,53.36000061035156,57.779998779296875,53.36000061035156,54.59000015258789,104717600
2026-03-11,55.5,57.7400016784668,55.349998474121094,56.09000015258789,83007700
2026-03-12,53.529998779296875,53.880001068115234,49.529998779296875,50.279998779296875,105674400
2026-03-13,51.880001068115234,53.959999084472656,50.040000915527344,50.720001220703125,83244300
2026-03-16,54.060001373291016,55.68000030517578,53.0099983215332,53.689998626708984,79819200
2026-03-17,55.099998474121094,55.400001525878906,53.29999923706055,54.95000076293945,59567700
2026-03-18,55.029998779296875,56.47999954223633,54.0,54.02000045776367,75470000
2026-03-19,49.529998779296875,56.11000061035156,48.5,54.849998474121094,93732700
2026-03-20,54.689998626708984,55.36000061035156,49.0,51.13999938964844,101773000
2026-03-23,54.630001068115234,56.810001373291016,52.279998779296875,53.029998779296875,115257400
2026-03-24,51.540000915527344,56.09000015258789,51.540000915527344,54.959999084472656,92153500
2026-03-25,56.63999938964844,58.25,55.59000015258789,57.040000915527344,84440300
2026-03-26,54.189998626708984,54.439998626708984,48.869998931884766,48.970001220703125,116603800
2026-03-27,48.040000915527344,49.380001068115234,45.959999084472656,46.61000061035156,98542900
