date,open,high,low,close,volume
2026-02-05,407.44,408.3,392.32,393.67,66289247.0
2026-02-06,399.165,401.79,392.92,401.14,53515311.0
2026-02-09,404.85,414.89,400.87,413.6,45480526.0
2026-02-10,419.62,423.68,412.7,413.27,44857850.0
2026-02-11,416.175,416.46,401.01,404.37,42491012.0
2026-02-12,405.0,406.2,398.01,401.84,40802362.0
2026-02-13,404.45,405.54,398.05,401.32,34091553.0
2026-02-17,399.22,400.52,394.525,396.86,32078794.0
2026-02-18,398.13,402.56,396.32,399.6,23223417.0
2026-02-19,400.69,404.43,396.67,398.46,28234001.0
2026-02-20,396.11,400.1159,395.16,397.23,34015249.0
2026-02-23,395.0,395.36,383.1,384.47,43238273.0
2026-02-24,384.14,389.36,381.71,389.0,33884653.0
2026-02-25,390.525,401.47,390.16,400.6,43625483.0
2026-02-26,404.71,407.49,398.74,401.72,34405869.0
2026-02-27,390.88,396.82,389.88,392.74,51367196.0
2026-03-02,392.855,401.19,390.63,398.55,35474907.0
2026-03-03,393.14,406.7,392.67,403.93,38199209.0
2026-03-04,401.265,411.0326,400.31,405.2,35807990.0
2026-03-05,404.42,411.61,404.4,410.68,39001315.0
2026-03-06,409.2,413.05,408.5101,408.96,31123859.0
2026-03-09,404.915,410.21,403.5,409.41,30131854.0
2026-03-10,410.03,410.2,402.93,405.76,31706375.0
2026-03-11,405.57,409.01,401.59,404.88,25512139.0
2026-03-12,404.63,406.12,401.71,401.86,27263886.0
2026-03-13,401.0,404.8,394.25,395.55,26848000.0
2026-03-16,398.07,400.63,394.79,399.95,27733721.0
2026-03-17,400.27,404.4,397.745,399.41,26228279.0
2026-03-18,397.125,398.0,391.0,391.79,25908484.0
2026-03-19,390.0299987792969,392.489990234375,388.010009765625,388.79998779296875,11300271.0
